,AphiaID
Balanophyllia (Balanophyllia) serrata,286945
Leptopsammia stokesiana,286994
Antipathella subpinnata,289447
Arachnopathes ericoides,289451
Anthemiphyllia patera,346422
Antillogorgia acerosa,367982
Crypthelia fragilis,285782
Axinella corrugata,165472
Axinella shoemakeri,165509
Axinella waltonsmithi,165525
Biemna microstyla,-999
Callyspongia (Callyspongia) fallax,166185
Callyspongia (Callyspongia) pallida,166192
Callyspongia (Cladochalina) vaginalis,166232
Dictyonellidae,131632
Acarnidae,167333
Calthropellidae,170035
Clathrinidae,131619
Siphonidiidae,131681
Niphatidae,131637
Hymedesmiidae,131655
Plakinidae,131661
Chondrilla nucula,134110
Chondrosia reniformis,134112
Cinachyrella alloclada,171291
Cinachyrella kuekenthali,171308
Cinachyrella apion,171294
Cinachyrella arenosa,171295
Cliona schmidtii,134139
Ciocalypta gibbsi,165765
Asteriopathes colini,289462
Crypthelia studeri,285798
Clathria (Microciona) adioristica,167607
Cliona caribbaea,170432
Cliona celata,134121
Cliona delitrix,170437
Crypthelia micropoma,285789
Antipathes grandiflora,283902
Pione vastifica,157411
Coelosphaera (Coelosphaera) biclavata,168819
Coelosphaera (Coelosphaera) fistula,168827
Corallistes paratypus,171074
Desmacella annexa,133206
Desmacella pumilio,133218
Desmapsamma anchorata,169121
Inferiolabiata cervicornis,856295
Discodermia polydiscus,134349
Sporadopora mortenseni,287499
Dysidea fragilis,132324
Paraconopora anthohelia,856351
Stellapora echinata,291115
Erylus formosus,170070
Erylus ministrongylus,170079
Erylus transiens,170093
Eunicea asperula,283234
Euryspongia rosea,164985
Gastrophanella implexa,171202
Geodia gibberosa,170126
Conopora gigantea,287508
Geodia neptuni,418825
Halichondria (Halichondria) bowerbanki,165801
Halichondria (Halichondria) lutea,165837
Phalangopora regularis,290729
Halichondria (Halichondria) melanadocia,165839
Stylaster tenisonwoodsi,285913
Adelopora moseleyi,287502
Conopora sola,736246
Conopora tenuiramus,736249
Chalinula molitba,166293
Amphimedon viridis,166701
Raspailia (Raspaxilla) pearsei,987078
Higginsia strigilata,132544
Hippospongia lachne,165108
Hyattella intestinalis,132378
Igernella notabilis,164900
Spirastrellidae,131674
Iotrochota birotulata,169379
Ircinia campana,165009
Ircinia felix,165020
Ircinia strobilina,165051
Callipodium rubens,289560
Hymeniacidon caerulea,165882
Lissodendoryx (Anomodoryx) sigmata,168989
Lissodendoryx (Lissodendoryx) spinulosa,255131
Lissodendoryx (Lissodendoryx) strongylata,168995
Lissodendoryx (Lissodendoryx) isodictyalis,168968
Madracis auretenra,430664
Merlia normani,168482
Clathria (Thalysias) venosa,196879
Clathria (Clathria) prolifera,167563
Clathria (Microciona) spinosa,167686
Monanchora arbuscula,169016
Mycale (Arenochalina) laxissima,168561
Mycale (Mycale) laevis,168638
Mycale (Carmia) microsigmatosa,168590
Niphates erecta,166776
Oculina implicata,869581
Pachastrella monilifera,134078
Pandaros acanthifolium,167841
Conopora unifacialis,287512
Neopetrosia carbonaria,166799
Petrosia (Petrosia) weinbergi,166867
Suberites massa,134296
Placospongia carinata,170611
Placospongia melobesioides,-999
Antho (Acarnia) illgi,167861
Dragmacidon reticulatum,165558
Pseudotrachya hystrix,134261
Raspailia (Raspaxilla) acanthifera,987073
Clathria (Thalysias) minuta,167759
Setidium obtectum,171199
Scolopes megastra,170409
Scopalina ruetzleri,165702
Haliclona (Soestella) caerulea,166641
Siphonodictyon siphonum,596692
Spheciospongia vesparium,170566
Spirastrella coccinea,170705
Spirastrella cunctatrix,134235
Spongosorites siliquaria,165937
Stylocordyla longissima,170725
Tedania (Tedania) ignis,169565
Clathria (Clathria) obliqua,167552
Terpios fugax,134307
Suberites aurantiacus,170835
Tethya actinia,170932
Tectitethya crypta,170927
Tethya seychellensis,170991
Clathria (Thalysias) juniperina,167745
Thrinacophora funiformis,168168
Aphrocallistes beatrix beatrix,195837
Timea mixta,134328
Hertwigia falcifera,134402
Biemna caribea,168252
Plakortis halichondrioides,169763
Xestospongia muta,166894
Neopetrosia subtriangularis,166814
Strongylacidon griseum,168799
Melithaeidae,196230
Raspailiidae,131642
Dictyoceratida,131595
Petrosiidae,131638
Corallistidae,131679
Pteridopathes tanycrada,290919
Chrysogorgia tetrasticha,286149
Pennatula murrayi,221130
Verrucella delicatula,291282
Pterostenella plumatilis,290945
Abyssoprimnoa gemina,872590
Ellisella andamanensis,291850
Calyptrophora persephone,872587
Callozostron bayeri,872588
Conopora adeta,287504
Paramuriceidae,151540
Verongiida,845402
Crypthelia kelleyi,954687
Stichopathes japonica,283968
Farrea truncata,747394
Theneidae,131666
Rossellinae,171965
Sclerothamnopsis compressa,171810
Lollipocladia tiburoni,344755
Asbestopluma (Asbestopluma) monticola,759744
Chondrocladia (Symmetrocladia) lyra,710164
Caulophacus (Caulophacus) cyanae,293595
Saccocalyx pedunculatus,171845
Bathydorus spinosus,172036
Erythropodium caribaeorum,289919
Fungiidae,196100
Antipathes tristis,411113
Keroeides fallax,517722
Stylaster californicus,285860
Paragorgia yutlinux,286612
Paragorgia tapachtli,286609
Thalamophyllia riisei,286868
Primnoa resedaeformis,125411
