,AphiaID
Balanophyllia (Balanophyllia) regia,135181
Caryophyllia (Caryophyllia) diomedeae,135139
Caryophyllia (Caryophyllia) japonica,286748
Balanophyllia (Balanophyllia) parvula,286938
Balanophyllia (Balanophyllia) rediviva,216152
Caryophyllia (Caryophyllia) crosnieri,286736
Caryophyllia (Caryophyllia) lamellifera,286751
Concentrotheca vaughani,286787
Confluphyllia juncta,289700
Conotrochus asymmetros,289704
Deltocyathus magnificus,286797
Deltocyathus rotulus,286804
Deltocyathus heteroclitus,286796
Caryophyllia (Caryophyllia) concreta,503251
Caryophyllia (Caryophyllia) atlantica,135136
Caryophyllia (Caryophyllia) octopali,286754
Caryophyllia (Caryophyllia) marmorea,286752
Caryophyllia (Caryophyllia) perculta,286757
Ceratotrochus laxus,411160
Crispatotrochus galapagensis,289738
Coenosmilia inordinata,286786
Dendrophyllia johnsoni,286976
Balanophyllia (Balanophyllia) cedrosensis,286908
Balanophyllia (Balanophyllia) diomedeae,286918
Crispatotrochus septumdentatus,504003
Fungiacyathus (Bathyactis) fissilis,287075
Cyathelia axillaris,287776
Dactylotrochus cervicornis,289783
Fungiacyathus (Bathyactis) pseudostephanus,287082
Caryophyllia (Caryophyllia) planilamellata,286758
Caryophyllia (Caryophyllia) laevigata,504172
Deltocyathus parvulus,286801
Deltocyathus taiwanicus,286808
Caryophyllia (Caryophyllia) kellerae,736236
Caryophyllia (Caryophyllia) huinayensis,286747
Caryophyllia (Caryophyllia) inornata,135141
Caryophyllia (Caryophyllia) oblonga,504173
Deltocyathus stella,286806
Deltocyathus suluensis,286807
Dendrophyllia alcocki,286962
Crispatotrochus cornu,289735
Dendrophyllia boschmai,346423
Dendrophyllia cladonia,286968
Dendrophyllia cornigera,135185
Dendrophyllia dilatata,286970
Dendrophyllia indica,286975
Dendrophyllia ramea,135187
Caryophyllia (Caryophyllia) paradoxus,216141
Caryophyllia (Caryophyllia) octonaria,286753
Deltocyathus varians,286809
Deltocyathus vaughani,286810
Dendrophyllia ijimai,286973
Caryophyllia (Caryophyllia) cornulum,286734
Enallopsammia pusilla,286988
Endopachys bulbosa,289890
Caryophyllia (Caryophyllia) eltaninae,286741
Dasmosmilia variegata,135153
Gardineria paradoxa,287445
Caryophyllia (Caryophyllia) barbadensis,286730
Clavulariidae,125270
Stolonifera,-999
Clavularia grandiflora,286025
Plakina tanaga,195924
Oscarella lobularis,133928
Plakina bioxea,169732
Dasmosmilia lymani,135152
Telestula corrugata,517834
Alcyonacea,1365
Alcyoniina,411555
Bathyalcyon robustum,724718
Nephtheidae,146762
Pseudodrifa nigra,290874
Telestula spiculicola,517835
Clavularia modesta,158266
Siphonogorgia collaris,288730
Nidalia occidentalis,290487
Gersemia fruticosa,156101
Bellonella molokaiensis,289513
Chironephthya agassizii,418845
Stereonephthya portoricensis,418848
Nidalia rubripunctata,290488
Gersemia juliepackardae,944595
Telesto nelleae,287518
Stereotelesto corallina,291129
Eleutherobia rubra,287765
Chironephthya caribaea,418846
Duva florida,146943
Telesto smithi,517830
Telestula tubaria,418844
Alcyonium digitatum,125333
Telesto sanguinea,287522
Telesto fruticulosa,287517
Drifa glomerata,146941
Carijoa operculata,418843
Aquaumbridae,701654
Bellonella rubistella,289516
Telesto flavula,287516
Alcyonium acaule,125331
Clavularia armata,517651
Scleranthelia rugosa var. musiva,422750
Telestula septentrionalis,125344
Clavularia rudis,177678
Nidalia dissidens,290480
Sinularia abrubta,209983
Alcyoniidae,125269
Nidaliidae,196169
Siphonogorgia agassizii,288722
Sarcodictyon rugosum,517775
Telesto corallina,287515
Paralcyonium spinulosum,125421
Telesto operculata,287519
Nidalia deichmannae,290479
Capnella glomerata,146765
Scleranthelia rugosa,125342
Telesto nuttingi,517827
Telesto californica,287514
Leiopathes glaberrima,103326
Halipteris willemoesi,286626
Gersemia rubiformis,156103
Halipteris californica,286623
Pennatulidae,128484
Kophobelemnon hispidum,286629
Virgularia presbytes,286712
Distichoptilum gracile,128524
Kophobelemnidae,128483
Anthoptilum grandiflorum,128504
Pennatula grandis,128516
Calibelemnon symmetricum,288080
Halipteris finmarchica,128509
Pennatula inflata,221131
Anthoptilum murrayi,128505
Kophobelemnon stelliferum,128512
Protoptilum carpenteri,128525
Scleroptilum grandiflorum,183413
Malacobelemnon daytoni,766545
Pennatula rubra,128519
Funiculinidae,128481
Virgularia agassizi,286702
Pennatula phosphorea,128517
Virgularia bromleyi,286705
Pennatula pearceyi,286641
Virgularia abies,286701
Virgularia gracilis,183484
Virgularia glacialis,128538
Stachyptilum superbum,291109
Umbellula huxleyi,128530
Virgularia mirabilis,128539
Umbellula thomsoni,128533
Umbellula spicata,286671
Veretillum cynomorium,128536
Funiculina armata,286621
Halipteris africana,128507
Cavernulina darwini,289234
Scleroptilidae,182877
Anthoptilidae,128480
Umbellula encrinus,128529
Halipteris christii,128508
Acanthoptilum oligacis,289326
Sclerobelemnon theseus,291040
Gyrophyllum hirondellei,128514
Protoptilidae,128485
Umbellula durissima,183476
Echinoptilum macintoshi,287982
Umbellulidae,128486
Virgulariidae,128488
Renilla muelleri,290962
Renilla reniformis,290965
Renillidae,266953
Swiftia pacifica,1036537
Chromoplexaura marki,724231
Leptogorgia chilensis,286222
Corallium laauense,517698
Eugorgia rubens,289935
Tethyidae,131677
Parastenella ramosa,290684
Plumarella longispina,287671
Corallium niveum,286590
Corallium bathyrubrum,883741
Corallium regale,286593
Paracorallium tortuosum,290641
Corallium ducale,286585
Corallium abyssale,286582
Corallium kishinouyei,517697
Coralliidae,125280
Corallium porcellanum,286591
Corallium boshuense,286584
Corallium reginae,286594
Corallium niobe,125415
Corallium carusrubrum,607937
Corallium sulcatum,286597
Corallium taiwanicum,607938
Paracorallium nix,290637
Paracorallium thrinax,290640
Corallium bayeri,883742
Corallium imperiale,286588
Corallium secundum,286595
Muricea pendula,177746
Paracyathus pulchellus,135163
Ptilosarcus gurneyi,290947
Adelogorgia phyllosclera,289357
Tubastraea coccinea,291251
Pseudoanthomastus pacificus,290868
Heteropolypus steenstrupi,724716
Heteropolypus japonicus,724714
Pseudoanthomastus fisheri,724712
Anthomastus granulosus,286015
Anthomastus grandiflorus,125335
Anthomastus agassizii,158261
Heteropolypus ritteri,724715
Anthomastus tahinodus,286021
Iophon lamella,167407
Hexactinellida,22612
Epiphaxum micropora,289903
Epiphaxum breve,289902
Errinopora nanneca,289914
Lepidopora glabra,285830
Crypthelia trophostega,285799
Crypthelia insolita,285786
Crypthelia cymas,285778
Errina macrogastra,285817
Crypthelia medioatlantica,117954
Lepidopora cryptocymas,285826
Crypthelia glossopoma,285785
Lepidopora decipiens,285827
Cyclohelia lamellata,289768
Lepidopora biserialis,285822
Stylaster verrillii,285915
Crypthelia glebulenta,285784
Crypthelia dactylopoma,285779
Errinopora zarhyncha,289917
Lepidotheca macropora,289278
Lepidopora dendrostylus,285828
Crypthelia gigantea,285783
Lepidotheca fascicularis,289275
Crypthelia eueides,285780
Lepidotheca inconsuta,289277
Crypthelia pudica,285794
Lepidopora polystichopora,285832
Lepidotheca chauliostylus,289274
Leptohelia microstylus,856275
Lepidotheca altispina,289271
Leptohelia flexibilis,829024
Lepidotheca robusta,289281
Stylaster marenzelleri,285891
Lepidopora sarmentosa,174796
Stylaster campylecus,346433
Stylaster brochi,285858
Lepidopora acrolophos,174794
Stylantheca papillosa,291143
Lepidopora symmetrica,285833
Lepidopora diffusa,285829
Lepidotheca ramosa,289280
Stylaster griggi,285882
Stylaster leptostylus,592248
Stylaster infundibuliferus,285887
Stylaster stejnegeri,285910
Stylaster trachystomus,592249
Stylaster venustus,285914
Stylaster parageus,592250
Stylaster parageus parageus,592251
Stylaster alaskanus,285846
Lepidotheca horrida,289276
Lepidotheca pourtalesi,289279
Stylaster miniatus,285894
Crypthelia floridana,285781
Errina cochleata,285807
Errina altispina,285800
Stylaster galapagensis,285879
Stylaster elassotomus,285874
Crypthelia tenuiseptata,117955
Crypthelia papillosa,285790
Stylaster gemmascens alaskanus,835688
Lepidotheca brochi,289272
Crypthelia peircei,285791
Lepidopora clavigera,285824
Lepidopora concatenata,285825
Distichopora asulcata,288318
Distichopora anceps,288316
Stylaster eguchii,231603
Errina gracilis,285812
Stylaster ibericus,117966
Distichopora borealis,288320
Inferiolabiata lowei,289284
Errina laterorifa,285816
Errinopsis fenestrata,174788
Errina cheilopora,285806
Errina sinuosa,285821
Stylaster lonchitis,285890
Errinopsis reticulum,287497
Errina laevigata,285815
Errina novaezelandiae,285818
Errina antarctica,285801
Errina fissurata,285811
Errina chathamensis,285805
Errina cyclopora,285809
Stylaster erubescens meteorensis,285876
Stylaster imbricatus,285885
Stylaster horologium,285884
Stylaster erubescens groenlandicus,118001
Errina australis,746094
Distichopora contorta,288323
Distichopora anomala,288317
Pliobothrus symmetricus,117962
Distichopora yucatanensis,288339
Pliobothrus echinatus,285834
Stylaster roseus,285905
Stylaster erubescens,117964
Inferiolabiata labiata,289283
Distichopora sulcata,288336
Pliobothrus tubulatus,285837
Stylaster filogranus,285877
Distichopora rosalindae,288334
Distichopora foliacea,288325
Stenohelia concinna,285838
Stylaster duchassaingi,285873
Errina bicolor,285802
Distichopora uniserialis,288337
Errinopora cestoporina,289912
Stylaster robustus,231592
Stylaster inornatus,285888
Distichopora dispar,288324
Stephanohelia praecipua,291123
Stylaster complanatus,285868
Stylaster spatula,285909
Errina boschmai,285803
Stylaster gemmascens,117965
Distichopora vervoorti,288338
Stylaster laevigatus,285889
Stenohelia venusta,736244
Stylaster densicaulis,174823
Stylaster divergens,285872
Stylaster corallium,285869
Stylaster aurantiacus,285850
Stylaster profundus,231579
Stenohelia pauciseptata,285841
Stenohelia maderensis,117963
Stylaster antillarum,285848
Stenohelia profunda,-999
Errina aspera,117957
Distichopora cervina,288321
Stylaster sinuosus,856308
Stylaster erubescens britannicus,118000
Errina cooki,285808
Stylaster kenti,736243
Stylaster brunneus,285859
Stylaster norvegicus,117968
Distichopora barbadensis,288319
Errina atlantica,117958
Stylaster sanguineus,285906
Distichopora laevigranulosa,288328
Stylaster boreopacificus,285856
Errina kerguelensis,231567
Distichopora borealis japonica,526974
Errinopora stylifera,289916
Stylaster eximius f. irregularis,528686
Stylaster bilobatus,285852
Errina reticulata,285820
Distichopora nitida,288330
Pliobothrus fistulosus,285835
Stylaster cocosensis,285867
Errina dendyi,285810
Stenohelia minima,527589
Stylaster multiplex,285896
Farrea occa,134391
Oculina varicosa,287102
Phyllangia americana,346430
Spheciospongia confoederata,170531
Ellisella funiculina,517713
Iridogorgia pourtalesii,125354
Calyptrophora agassizii,287648
Anthothela nuttingi,286578
Narella arbuscula,409558
Plexauridae,125277
Paramuricea placomus,125390
Placogorgia rudis,286408
Narella gigas,409563
Acanthogorgia armata,125348
Narella orientalis,286527
Narella clavata,286513
Primnoidae,-999
Chrysogorgia agassizii,125351
Metallogorgia melanotrichos,125355
Narella bayeri,409557
Calyptrophora microdentata,287655
Eunicella modesta,177818
Candidella gigantea,286505
Muriceopsis sulphurea,-999
Narella bowersi,286512
Muriceopsis tuberculata,880119
Plumarella pourtalesii,177840
Radicipes gracilis,125357
Callozostron mirabile,173455
Calyptrophora trilepis,177836
Acanthogorgia aspera,177735
Narella muzikae,409564
Calcaxonia,411557
Swiftia koreni,418855
Iridogorgia magnispiralis,286154
Thesea grandiflora,286433
Ellisella grandis,291870
Muricea hebes,287564
Narella cristata,409559
Muricea robusta,287575
Rhodaniridogorgia superba,290986
Narella dichotoma,286515
Chrysogorgia thyrsiformis,286150
Callogorgia gracilis,286489
Callogorgia linguimaris,286495
Calyptrophora japonica,-999
Thouarella (Euthouarella) hilgendorfi,125413
Placogorgia tenuis,286413
Paracalyptrophora hawaiinensis,883733
Calyptrophora angularis,287649
Nicella deichmannae,286166
Calyptrophora clinata,287652
Callozostron diplodiadema,173453
Ellisella atlantica,292603
Callozostron acanthodes,287470
Calyptrophora wyvillei,287658
Scleracis petrosa,291028
Villogorgia nigrescens,286471
Calyptrophora cucullata,719488
Leptogorgia stheno,286285
Nicella obesa,286177
Callogorgia gilberti,286488
Calyptrophora inornata,719489
Nicella hebes,286172
Calyptrophora diaphana,719492
Paramuricea grandis,158289
Calyptrophora niwa,719491
Acanthogorgia striata,286088
Dasystenella acanthina,289785
Arntzia gracilis,289455
Callogorgia formosa,286487
Anthothela argentea,286577
Onogorgia nodosa,409528
Muricella complanata,290387
Armadillogorgia cyathella,173416
Villogorgia antillarum,517853
Swiftia exserta,286416
Iridogorgia bella,286152
Metafannyella mawsoni,409517
Metafannyella lepidota,409514
Chrysogorgia geniculata,286122
Fanellia euthyeia,289950
Narella alata,409567
Iciligorgia schrammi,290178
